#article,editor
36258669,12605825
36258669,21848
36258669,3214
36258669,27231
36258669,297406
36258669,528646
36258669,441000
36258669,93029
36258669,230355
36258669,816769
36258669,259121
36258669,2471791
36258669,92503
372801,116043
372801,288320
372801,13100
372801,51792
372801,210185
372801,535603
372801,1849335
372801,16949
3414021,5495
3414021,104070
2337812,7083161
2337812,282631
2337812,83577
2337812,791372
2337812,476781
2337812,39610
2337812,9075375
2337812,4457
2337812,131141
2337812,3625465
2337812,13087708
2337812,3025677
2337812,9072
2337812,6396
14439630,292012
14439630,1157978
14439630,210185
14439630,23771
14439630,1974704
14439630,535541
1001666,257524
1001666,115903
1001666,116816
1001666,2677
1001666,49983
1001666,175775
1001666,85324
1001666,1208376
1001666,115210
1001666,74846
3434750,2976135
3434750,61847
3434750,52164
3434750,894404
3434750,65178
3434750,4750
3434750,90418
251212,1451
251212,151531
251212,169276
251212,8101
251212,62926
251212,34821
251212,33663
251212,3344911
3410343,2563
3410343,4491683
3410343,81363
3410343,112775
3410343,403614
3410343,1346101
3410343,6363
3410343,1536050
3410343,811691
5043734,25515
5043734,18486
8835,2727
8835,116398
8835,437113
8835,1535794
8835,1158
8835,1536866
8835,1537291
8835,181925
8835,782222
8835,744616
8835,11318
8835,21481
8835,1536163
8835,1207
8835,112463
8835,1448701
8835,115645
8835,14533
380021,1050689
380021,750852
380021,535316
380021,535603
380021,288320
380021,1367314
380021,13100
380021,51792
380021,116043
380021,1849335
380021,16949
303197,15634
303197,2702896
303197,16711
303197,972
303197,73677
14995351,23508
14995351,77402
14995351,6546
14995351,251800
14995351,81150
14995351,1599453
14995351,377001
1095706,268215
1095706,6418
1095706,1195
1095706,17385
1095706,15124
1095706,88778
1095706,31438
1095706,41011
1095706,6412
1095706,18365
8697957,116398
8697957,1207
8697957,1536163
8697957,437113
8697957,1536866
8697957,112463
8697957,782222
8697957,1448701
8697957,5089
8697957,14533
8697957,115645
606848,17780
606848,17826
606848,2982
606848,117730
606848,160075
606848,104085
606848,369206
606848,31001
606848,199211
3784152,12912980
3784152,1269043
3784152,9429586
3784152,3327610
3784152,12469219
3784152,24611832
3784152,216639
2731583,165501
2731583,18371
2731583,65042
